word,common_mean,pronunciation,more_mean,definition,synonyms,example 
SPUE,ভযঙ্কর,Bhayaṅkara,None,None,None,None
STEAMER,জাহাজ,Jāhāja,"[ ]{ স্টীমার: steamer; বাষ্পচালিত জলযান: steamer; } [noun]{ জাহাজ: ship, vessel, ark, boat, steamer, keel; স্টীমার্: steamer; বাষ্পোতপাদক: steamer; বাষ্পীয় পোত: steamer; ","[noun]{ 1: a ship, boat, or locomotive powered by steam. (There were fast new attack transports, slow rust-scarred freighters, small ocean liners, Channel steamers , hospital ships, weather-beaten tankers, coaster and swarms of fussing tugs.) 2: a type of saucepan in which food can be steamed. (Perhaps in preparation for a forced career change, Hayden brought with him a camping stove, frying pan, wok, bamboo steamer and food processor.) 3: a wetsuit. (But next time I will bring a thicker wetsuit; a 5mm steamer would be about right for the deeper dives.) }","[noun]{ soft-shell clam, steamship}","Pat the fish dry and arrange it on a lightly oiled heatproof plate or bowl that will fit into your steamer .; Each ship had a commanding officer, but the commanders of the sailing ships were senior to those of the steamers so that they could direct the operations of their respective tenders.; For the verbena infusion: In a large, covered pot, line a steamer with parchment paper that has been slashed to make small vents.; Great Lakes started off with a floating awards banquet, as guests boarded a paddlewheel steamer for dinner and a cruise on the Illinois River.; Coat the bottom of a hot steamer with vegetable cooking spray.; The rattle of a pudding bowl in the steamer ensures that, two hours later, you have a glorious coconut and jam sponge pudding that evokes childhood.; There were fast new attack transports, slow rust-scarred freighters, small ocean liners, Channel steamers , hospital ships, weather-beaten tankers, coaster and swarms of fussing tugs.; Close the shells and pack the mussels tightly into a steamer , or a colander placed in a pan with a little water.; It has been an excursion steamer and a floating restaurant. It often stops at the Essex coast but has never before called at Maldon.; It might also have the effect of keeping the passage clearer by the more frequent stirring and movement of powerful steamers towing flotillas of keels and lighters.; Piers were built to serve sailing vessels and steamers from across the bay.; Figureheads were used to add a decorative flourish and prestige to ships and steamers in an age when the vessels were the quickest and most comfortable mode of transport.; Put the Christmas pudding in the steamer , cover and leave to steam away until 2.15 pm. You'll need to check the water from time to time and maybe top it up a bit.; To cook, place the chicken and its marinade in a large steamer over simmering water, and steam for 20 minutes or until cooked through.; Again varies, ranging from requiring a full UK suit in winter to a 5mm steamer or even a shortie wetsuit in summer.; You could try to change little things that make her fat: is there a certain snack she won't stop eating or maybe a frying pan that needs to be swapped for a steamer ?; Stack the humitas in the steamer , cover the pan tightly, and steam for about 45 minutes.; Placing the assembly on the stove and the lid on the steamer , she checked the kitchen clock, shrugged, and turned the flame to ‘Medium’.; Until the 1880s the company stuck with sailing ships, but then moved slowly into steamers .; 4 Fit the steamer over the pan of simmering water, cover and cook the fish fillets for 4-6 minutes.; In 1909, another leg was added to the jetty, to facilitate a railway line for the loading of timber onto steamers and tall sailing ships.; The dim sum was contained in small bamboo food steamers , tiny but delightful, so that you could order varied dishes.; She also captured or sunk 14 ships (half of them steamers and most British) in 15 months at sea.; When sailing ships were replaced by steamers and liners, the heavy ropes were no longer in high demand.; Most of launches, steamers and other vessels lack mechanical steering and still have manual steering systems that are a century old.; Serving on sweltering ironclads and steamers or on marginally seaworthy vessels required increased attention to medical care, nutrition, and morale for volunteer citizen-sailors.; Then put the sponge mix over the top, and cook in the steamer for 20-25 mins.; Sailing ships, and later steamers , played a vital part in South Australia's History.; For more than a mile the beach was littered with wrecked ships, including debris from the steamer Curaca which was thrown across the full width of the narrows.; Place the ramekins in the prepared steamer and cook until set, about 20 minutes."
SPOT DYEING,স্পট ডাইভিং,Spaṭa ḍā'ibhiṁ,None,None,None,None
SONGWRITERS,সংগীতকার,Saṅgītakāra,None,[noun]{ 1: a person who writes popular songs or the music for them. (One of the greatest mysteries in the music business is how songwriters get their songs recorded.) },[noun]{ },None
STEEL-TOPPED,ইস্পাতের,Ispātēra śīrṣasthānē,None,None,None,None
STRONG HEAT,শক্ত হিট,Śakta hiṭa,"[noun]{ ঝাঁজ: strong heat, acridity; ঝাঁঝ: cymbals, strong heat, acridity; ",None,None,None
SLIPPAGE,স্লিপেজ,Slipēja,None,[noun]{ 1: the action or process of something slipping or subsiding; the amount or extent of this. ($16 million has been spent on cracks and slippage) },None,"Despite the concerns, however, some stockbrokers have been advising clients to take advantage of the recent slippage in share prices to add to existing holdings.; The plan also involves strengthening measures for the bank, which slopes down to Markievicz Road, where there has been slippage .; Major slippages in body condition can lead to undesirable further problems next year.; But these are all slippages easily repaired with firm editorial control’.; These included streamlining training practices and eliminating slippages in deliveries.; There is a strong emphasis on low direct tax rates and, notwithstanding a couple of years of slippage , firm control over government spending.; This process is called mitotic slippage and yields tetraploid 4N cells.; And despite regular grumbling from consumers about slippage in quality, more and more people are flying all the time.; It is estimated a further £30 million will be needed to prevent further slippages along the entirety of the seafront.; This suggests that some process other than enzyme slippage is contributing to the high level of diversity in this region.; On the timing of the move, a degree of slippage from the original end - 1996 target date originally set by McCreevy is hinted at.; We hope, if there is any slippage , we can be included in the first round and we feel we should be a priority in the second round.; The slippage caused physical damage, delays, and consequential losses, and necessitated extensive remedial works.; If further slippages occur in November and December, it would be a cause for attention.; In a shower, be sure to have a bath mat to prevent slippage .; The traction-control system works well, and is intentionally toned down to allow some slippage through the corners.; Any further slippage of the fiscal deficit in the medium term could lower the nation's stable credit outlook.; An adaptive building must allow slippage between each layer, or the slow layers block flow of quick, and quick layers tear up the slow.; $16 million has been spent on cracks and slippage; But there was still no sign of slippage last night.; Microsatellite lengths change over evolutionary time through a process of replication slippage .; £16 million has been spent on cracks and slippage; The New Walton Pier Company, which owns the site, told hut owners their huts would have to be removed for urgent safety work to be carried out due to land slippage .; However, if changes, created either by slippages or by nucleotide substitutions, were seen in the sequence included in any of the indels, then the number of such changes was also counted and included in the analysis.; The aftermath of a terrorist attack is the riskiest time for such slippages .; You walk right by the edge, vertical drops for the vertigo-challenged, stepping round recent cliff slippages .; We can only estimate the relative expansion slippage rates and contraction slippage rates compared to the point mutation rate.; No matter how thin the grates, major slippage is bound to occur.; The experience of defence equipment procurement in the UK since the second world war is a story liberally strewn with cost overruns and timetable slippages , often on a massive scale.; But in recent years there's been serious slippage , enough to call a trend."
SMILE UPON,স্মাইল আপন,Smā'ila āpana,"[verb]{ অনুগ্রহ করা: favor, smile on, smile upon, befriend, benefit, oblige; ",None,None,None
SUB-INSPECTOR,দারোগা,Dārōgā,"[ ]{ অবরপরিদর্শক: sub-inspector; } [noun]{ দারোগা: inspector, sub-inspector, assistant sub-inspector; ",None,None,None
SOFTEN,গলা,Galā,"[verb]{ গলা: soften, thaw, melt, fuse, pass, decompose; গলান: flux, thaw, soften, melt, fuse, decompose; নরম করা: soften, milden, gentle, mollify, attenuate; তরল করা: liquefy, make fluid, dilute, water down, melt, soften; মন গলা: soften; } [ ]{ কোমল: soften, velvety, Gentle, lily, womanish, pulpy; মৃদু: Gentle, kindly, low-pitched, soften; ",[verb]{ 1: make or become less hard. (plant extracts to soften and moisturize the skin) 2: make or become less severe. (some Democrats tried to soften the blow by substituting a smaller cut in the property tax rate) 3: remove mineral salts from (water). (Observations have shown increased copper levels in water softened with ion exchange water softeners.) },"[verb]{ alleviate, ease, relieve, soothe, take the edge off, assuage, cushion, moderate, mitigate, palliate, diminish, blunt, deaden, die down, abate, subside, moderate, let up, calm, diminish, slacken, weaken, yield, relent, buffer, cushion, damp, weaken, break, dampen, mince, moderate}","This will soften Garcia without making him feel threatened.; Upon seeing Aerin's face, his own expression and tone softened .; Add onion, ginger and garlic and stir until onion is softened using low to medium heat.; Sodium hydroxide is a caustic type of chemical that actually softens hair fibers.; If you are using leaf gelatin, put the sheets in cold water to soften .; plant extracts to soften and moisturize the skin; Something sharp and dangerous transformed his face, his expression going from that of a parent trying to soften a blow to a dark anger.; Cooking softens the hemicellulose of vegetables, allowing the nutrients that are present in the food to be more accessible for digestion.; He simply figured their time apart had softened her a little.; You will not soften us up by telling us the problems.; After softening you up, they drag you en masse to the door.; Harriette's expression of resolve softened , and she reached out and cupped Marguerite's chin in a motherly fashion.; Maura's expression softened as she leaned closer to him.; The bombing raid we were victims of was just to soften us up.; Soak these leaves for five minutes in hot water to soften them.; He also looked exceedingly miserable, an expression which softened only in the slightest at the sight of the coffee.; The expression on his face softened as he watched her.; Better to wait until bubbles burst and manage the consequences, softening the economic blow by loosening monetary policy very quickly.; Mack admitted, his face softening into a vulnerable expression.; His expression softened and his hand was still extended to her, ‘My name's Adam.’; Water softeners are sometimes a hidden source of sodium in your water at home - although cold water often isn't softened .; Set aside for 10 minutes for the flavours to marry and the vegetables to soften .; Except I do want to point out that she's fallen for him, and when one does that, it softens the person, you know?; Her expression immediately softened at the sight of me but turned hard once more after spotting the Old English sheepdog.; These are products which can prevent drying of the skin, thereby moisturizing and softening the skin.; If writing to ask for extra money, he would sometimes include a mathematical theorem for possible use in exams to soften his father up.; If the chocolate starts to firm, soften over the heated water again.; the blockade appears a better weapon with which to soften them up for eventual surrender; Only his tears, his breakdown, had softened his mother, who had spoken to his father.; plant extracts to soften and moisturize the skin"
STODGE,ভারি খাবার,Bhāri khābāra,[ ]{ ভারি খাবার: stodge; কল্পনাশক্তিহীন ব্যক্তি: stodge; নীরস কাজ: stodge; গাণ্ডেপিণ্ডে গেলানো: stodge; ,"[noun]{ 1: food that is heavy, filling, and high in carbohydrates. (she ate her way through a plateful of stodge) 2: dull and uninspired material or work. (Instead there is a formless narrative stodge , a summary report of a life, high on biographical fact and very low on the literary qualities he valued most.) }",None,"From the bruschetta and garlic bread starters to the pizza and pasta main courses, they were all satiating themselves on stodge .; I've noticed the return of a familiar tightness in the belt area over the past few weeks, which might not be entirely unrelated to the amount of cold-weather stodge that I've been eating recently.; A former army chef has been drafted in to work with schools around the area, to see what can be done to make school dinners, traditionally that byword for stodge , more nutritious.; If you're poor in this world, this is how you get your daily energy: a big pile of carbohydrates with a tiny amount of proteins, fats, spice or salt to leaven the stodge .; she ate her way through a plateful of stodge; Offer this stodge to people before dinner and they'll eat it.; she ate her way through a plateful of stodge; In the evening, with the group left to its own devices for once, we have our first disappointing meal, consisting mainly of flavourless stodge floating in vast amounts of grease.; Walking off all this stodge doesn't really involve a tour of Helsinki's historical sites, galleries or museums.; In the winter it is more probable we will eat up our stodge , whatever the slight change in temperature.; For supper tonight, three-quarters of us will be eating mainly stodge - a pile of carbohydrates.; There's plenty of good stodge on the menu, including favourites such as scampi, macaroni cheese, sausages, lasagne, steak and hand-cut chips.; Imagine stodge in the middle of August, when all you want is a dainty cucumber sandwich and a bowl of strawberries before skipping off for a game of tennis.; If it's stodge and solace you need, then the hearty Scottish breakfast will do the job.; There is much said about how thick or thin a risotto should be, it should be just as you like it, but not a lump of over-cooked stodge .; Memories of over-priced stodge from white vans are more than enough to make even the staunchest burger lover lose his appetite.; Compared with the stodge of American papers, their sheer inertness, what's on offer in England never fails to amaze me.; Instead there is a formless narrative stodge , a summary report of a life, high on biographical fact and very low on the literary qualities he valued most.; The cravings for stodge and carbohydrates are an infallible indicator that cold weather has arrived.; Having endured the worst of American food for the best part of our holiday, with huge portions of inedible, sugar-laden stodge , this was the straw that broke the camel's back.; Toddlers, whose television-watching and eating habits are decided for them, are less susceptible to the lure of marketing men than their parents, who were themselves raised on a diet of stodge .; This time, he put together a menu that was all his own: it was very British food, but executed without a hint of stodge .; This is comfort food at its best, whether you crave warmth, sweetness and stodge or simply want to feed your nostalgia.; Most importantly, muffins are not the lardy stodge capsules full of chocolate chips and alien berries which appear to have invaded our shores from America over the last few years."
STRAW LIKE,ভালো লেগেছে,Bhālō lēgēchē,"[adjective]{ তৃণবৎ: grassy, straw-like; ",None,None,None
SPUTTERING,sputtering,Sputtering,"[verb]{ থুতু ফেলা: spit, sputter; ","[verb]{ 1: make a series of soft explosive sounds, typically when being heated or as a symptom of a fault. (the engine sputtered and stopped) 2: deposit (metal) on a surface by using fast ions to eject particles of it from a target. (We prepared the filters for SEM analysis by sputtering a thin gold film on them.) }","[noun]{ sputter, splattering, splutter, spatter, splatter, spattering} [verb]{ shin, scramble, shinny, struggle, skin, clamber, splutter, splutter, spit out}",None
SLAVE-DRIVER,ক্রীতদাস চালক,Krītadāsa cālaka,[noun]{ অতি কঠোর উপরত্তয়ালা: slave-driver; ,"[noun]{ 1: a person who oversees and urges on slaves at work. (And, when a slave begins to get out of control, the slave driver has to, in some cases, take drastic measures.) }",[noun]{ },"The girls had joked that I was a slave driver even at sleepovers.; What about the misery, the hardship, the slave-driving new standards?; Other than these two incidents, I was my own personal slave driver .; Isambard Kingdom Brunel made Swindon great but it took blood, sweat, tears and slave-driving .; Aku had turned from a friend into a slave driver when it came to the dance.; Dick has long been the slave driver of the group as far as getting things ready are concerned.; And Armstrong joked: ‘He can be a bit of a slave-driver because he works you hard.’; Young Irish men worked all week at back-breaking work and on a Saturday evening they were told to report to either the pub owned by the slave-driving employee or a member of his family.; ‘No Eve, I am not a slave driver , I just want to keep you safe’ he answered rationally, and Eve jerked, raising her head to face him.; Horror stories have been cited of unfortunate junior doctors being forced to work entire weekends on their own with no sleep or food by slave-driver health board paymasters.; How many slave-driving fast food chain corporations can claim that?; An athlete often needs more of a companion than a slave-driver .; In the eyes of someone who just sees a fragment of my life, they may see me as a dictator, they may see me as a slave driver .; You suppress the obvious answer ‘because they slave-drive their staff and try to work out what is going on.; Pay extra on a student loan or tuck the money away in your savings account to help buy freedom from your slave-driving boss.; To slave-driving managers who think it's just for the lazy, he says sleep deprivation is a major cause of irritability, mistakes and accidents.; But he was a slave-driver and really made people work."
SPLINTS,splints,Splints,"[noun]{ বন্ধফলক: splint; চটা: wicker, splinter, slip of bamboo, lath, splint; বন্ধনফলক: splint; ","[noun]{ 1: a strip of rigid material used for supporting and immobilizing a broken bone when it has been set. (she had to wear splints on her legs) 2: a long, thin strip of wood used to light a fire. (By the light of burning splints , the raiders had marched all the men into the fields and tied them up.) 3: a bony enlargement on the inside of a horse's leg, on the splint bone. (He's got a nasty old splint on the inside of his knee and it often flares up,’ said the Jackdaws Castle trainer.) } [verb]{ 1: secure (a broken limb) with a splint or splints. (his leg was splinted) }",None,None
STUART DAVIS,স্টুয়ার্ট ডেভিস,Sṭuẏārṭa ḍēbhisa,None,None,None,None
SOLO BLAST,SOLO ব্লাস্ট,SOLO blāsṭa,None,None,None,None
STRAIN INSULATOR,স্ট্রিন ইনসুলার,Sṭrina inasulāra,None,None,None,None
STORED UP,স্টোরেড ইউপি,Sṭōrēḍa i'upi,"[adjective]{ মজুত: stock, stored up, reserved; ",None,None,None
SNOW FLOWER TREE,স্নো ফ্লোর ট্রি,Snō phlōra ṭri,None,None,None,None
STOKES' ASTER,স্টকস 'Aster,Sṭakasa'Aster,None,None,None,None
STIFF,শক্ত,Śakta,"[adjective]{ শক্ত: strong, hard, stiff, solid, difficult, sturdy; কঠিন: hard, difficult, solid, stubborn, stiff, stark; অনমনীয়: rigid, inflexible, unyielding, stiff, stubborn, tenacious; দৃঢ়: firm, strong, rigid, solid, sure, stiff; কড়া: strong, hard, severe, heavy, stiff, nappy; মৃত: dead, deceased, late, lifeless, extinct, stiff; অস্পন্দ: motionless, stiff, still; কষ্টসাধ্য: hard, arduous, steep, uphill, difficile, stiff; দুর্দম: indomitable, unruly, unsettled, unstable, irresistible, stiff; ঠাড়মোড়: stiff, torpid, numb; } [ ]{ দৃঢ়: steadfast, resolution, unperturbed, uncompromising; ভাঁজ করতে অসমর্থ: stiff; অনমনীয়: uncompromising, adamant, buckram, obdurate, ossify, rock-ribbed; ","[adjective]{ 1: not easily bent or changed in shape; rigid. (a stiff black collar) 2: severe or strong. (they face stiff fines and a possible jail sentence) 3: full of. (the place is stiff with alarm systems) 4: having a specified unpleasant feeling to an extreme extent. (she was scared stiff) 5: a card that is the only one of its suit in a hand. (two red aces and a stiff club) } [noun]{ 1: a dead body. (When the bodies of various stiffs start disappearing from the local morgue, the police are baffled as to where they've gone.) 2: a boring, conventional person. (ordinary working stiffs in respectable offices) } [verb]{ 1: cheat (someone) out of something, especially money. (several workers were stiffed out of their pay) 2: ignore deliberately; snub. (And in this case, he was very interested in all of the questions, did not stiff them or brush them off.) 3: kill. (I want to get those pigs who stiffed your doctor) }","[adjective]{ rigid, hard, firm, inelastic, inflexible, semisolid, viscous, viscid, thick, stiffened, firm, aching, achy, painful, arthritic, rheumatic, creaky, rusty, formal, reserved, unfriendly, chilly, cold, frigid, icy, austere, wooden, forced, strained, stilted, starchy, uptight, standoffish, harsh, severe, heavy, crippling, punishing, stringent, drastic, draconian, vigorous, determined, full of determination, strong, spirited, resolute, tenacious, steely, four-square, unflagging, unyielding, dogged, stubborn, obdurate, rock-ribbed, difficult, hard, arduous, tough, strenuous, laborious, uphill, exacting, tiring, demanding, formidable, challenging, punishing, grueling, killing, hellish, strong, fresh, brisk, strong, potent, alcoholic, strong, potent, sozzled, wet, loaded, pissed, pixilated, plastered, soaked, cockeyed, fuddled, blotto, crocked, sloshed, tight, squiffy, smashed, besotted, pie-eyed, blind drunk, soused, starchy, buckram, steadfast, unwavering, firm, unshakable, steady, unfaltering, unbendable, rigid} [noun]{ cadaver, corpse, remains, clay} [adverb]{ stiffly}","This comes from a working class stiff who has a 14-year old son who skates.; They come across as stiff and uninteresting, but that's exactly what the director wants from them.; And instead of the magic of the performers feeding on the collective, often irrational consciousness of a celebratory theatre crowd, you've now got actors singing for their supper in front of row upon row of wealthy stiffs .; So if the insurance companies are going to stiff Americans when it comes to affordable prescription drugs, somebody has to do the job.; First it suddenly hit her that she was stiff , even snappish, towards everyone but her closest friends, Mick and Reardon.; Never once do you buy him as a beat down working class stiff who just needs a break to get what he more or less rightfully deserves.; Does the outcome of the recall show that you can get away with bypassing, stiffing , and otherwise not engaging the mainstream media and still get elected governor of California?; I would recommend doing between eight and 12 repetitions on a fairly stiff hill about 800 metres long.; One show I saw involved a woman who'd stiffed an appliance store on a refrigerator and then had the gall to sue it for harassment when it tried to collect.; Whisk together the double and single cream until thick, but not stiff : this takes longer than usual because of the addition of the single cream.; Any member that exceeds the 3% limit has two years in which to bring its deficit down, or it will face stiff fines from the Commission.; His brother certainly looked uncomfortable in his city clothes, pulling constantly at his stiff collar.; He stood up, stretching limbs that had become stiff from the cramped surroundings.; If the dough is too stiff a little more coconut milk could be added.; A friend of my father's worked for the London Transport Police and part of his job involved scraping stiffs off the tracks.; The stiff black rubber fins allowed bodysurfers to catch bigger waves, then angle across their faces.; And the two best ways to keep people stupid and nodding is by shutting down the information flow and by stiffing the press.; If you leave a quarter you might as well be stiffing me.; He seems to be a rather stiff and aloof character.; A few more singles stiffed in 1965/66 before the band ground to a halt sometime in 1967.; I still see a lot of people here using their phones normally here, but the fines are fairly stiff if you are caught.; I don't want to stiff her if she's due a partial fee, but I'm afraid that if I let her know she'll try to overcharge me.; He is on great terms with all the working stiffs and is a popular executive.; When the bodies of various stiffs start disappearing from the local morgue, the police are baffled as to where they've gone.; I fancy a stiff drink this lunchtime to steady my nerves!; The head is slightly bowed, but the body is upright, without a trace of military rigidity or stiffness .; While my heart had wanted so much to stay with him, to never leave him, my mind was still scared stiff of getting close to anyone and had needed to get far away.; I don't drink at lunchtime but I like a stiff whisky at 6.30 in the evening and perhaps another later on.; Every morning the same four guys came in, ate the same eggs-and-potatoes configurations, repeated the same harangue about how I was personally responsible for their lack of overtime, and stiffed me.; I'd love to sign up for the Secret Santa thing this year, too, but I got stiffed last year, so it sort of left a bad taste in my mouth."
SPUE,None,None,None,None,None,None
STEAMER,None,None,None,None,None,None
STEAMER,জাহাজ,Jāhāja,"[ ]{ স্টীমার: steamer; বাষ্পচালিত জলযান: steamer; } [noun]{ জাহাজ: ship, vessel, ark, boat, steamer, keel; স্টীমার্: steamer; বাষ্পোতপাদক: steamer; বাষ্পীয় পোত: steamer; ","[noun]{ 1: a ship, boat, or locomotive powered by steam. (There were fast new attack transports, slow rust-scarred freighters, small ocean liners, Channel steamers , hospital ships, weather-beaten tankers, coaster and swarms of fussing tugs.) 2: a type of saucepan in which food can be steamed. (Perhaps in preparation for a forced career change, Hayden brought with him a camping stove, frying pan, wok, bamboo steamer and food processor.) 3: a wetsuit. (But next time I will bring a thicker wetsuit; a 5mm steamer would be about right for the deeper dives.) }","[noun]{ soft-shell clam, steamship}","Most of the damage was to the older ships, from galleys to galleons and frigates to pre-dreadnaught steamers .; For the verbena infusion: In a large, covered pot, line a steamer with parchment paper that has been slashed to make small vents.; For more than a mile the beach was littered with wrecked ships, including debris from the steamer Curaca which was thrown across the full width of the narrows.; When sailing ships were replaced by steamers and liners, the heavy ropes were no longer in high demand.; 4 Fit the steamer over the pan of simmering water, cover and cook the fish fillets for 4-6 minutes.; Pat the fish dry and arrange it on a lightly oiled heatproof plate or bowl that will fit into your steamer .; In 1909, another leg was added to the jetty, to facilitate a railway line for the loading of timber onto steamers and tall sailing ships.; She sank in 1942 on top of the wreck of the Montana, a paddle-wheel steamer that went down on the reefs in 1893.; Perhaps in preparation for a forced career change, Hayden brought with him a camping stove, frying pan, wok, bamboo steamer and food processor.; Placing the assembly on the stove and the lid on the steamer , she checked the kitchen clock, shrugged, and turned the flame to ‘Medium’.; Place the cabbage in a steamer and cook for 10-15 minutes or until just tender.; Serving on sweltering ironclads and steamers or on marginally seaworthy vessels required increased attention to medical care, nutrition, and morale for volunteer citizen-sailors.; Over the first two months of 1916, the Moewe captured or sank 15 merchant steamers , a total tonnage of 57,835.; Figureheads were used to add a decorative flourish and prestige to ships and steamers in an age when the vessels were the quickest and most comfortable mode of transport.; There were fast new attack transports, slow rust-scarred freighters, small ocean liners, Channel steamers , hospital ships, weather-beaten tankers, coaster and swarms of fussing tugs.; Place the prepared sweet potato in a steamer and cook until tender, about ten minutes.; Cook in a steamer until tender, adding the extra half cup of sherry to the liquid in the pan underneath for added moisture.; The dim sum was contained in small bamboo food steamers , tiny but delightful, so that you could order varied dishes.; The rattle of a pudding bowl in the steamer ensures that, two hours later, you have a glorious coconut and jam sponge pudding that evokes childhood.; She also captured or sunk 14 ships (half of them steamers and most British) in 15 months at sea.; Coat the bottom of a hot steamer with vegetable cooking spray.; Put the Christmas pudding in the steamer , cover and leave to steam away until 2.15 pm. You'll need to check the water from time to time and maybe top it up a bit.; The whole thing was cooked into a sort of cake in the steamer .; It has been an excursion steamer and a floating restaurant. It often stops at the Essex coast but has never before called at Maldon.; Great Lakes started off with a floating awards banquet, as guests boarded a paddlewheel steamer for dinner and a cruise on the Illinois River.; For the cinnamon bread: Prepare a hot steamer and pre-heat a deep fryer to 375 degrees.; Most of launches, steamers and other vessels lack mechanical steering and still have manual steering systems that are a century old.; Stack the humitas in the steamer , cover the pan tightly, and steam for about 45 minutes.; You could try to change little things that make her fat: is there a certain snack she won't stop eating or maybe a frying pan that needs to be swapped for a steamer ?; Then put the sponge mix over the top, and cook in the steamer for 20-25 mins."
STEAMER,জাহাজ,Jāhāja,"[ ]{ স্টীমার: steamer; বাষ্পচালিত জলযান: steamer; } [noun]{ জাহাজ: ship, vessel, ark, boat, steamer, keel; স্টীমার্: steamer; বাষ্পোতপাদক: steamer; বাষ্পীয় পোত: steamer; ","[noun]{ 1: a ship, boat, or locomotive powered by steam. (There were fast new attack transports, slow rust-scarred freighters, small ocean liners, Channel steamers , hospital ships, weather-beaten tankers, coaster and swarms of fussing tugs.) 2: a type of saucepan in which food can be steamed. (Perhaps in preparation for a forced career change, Hayden brought with him a camping stove, frying pan, wok, bamboo steamer and food processor.) 3: a wetsuit. (But next time I will bring a thicker wetsuit; a 5mm steamer would be about right for the deeper dives.) }","[noun]{ soft-shell clam, steamship}","It might also have the effect of keeping the passage clearer by the more frequent stirring and movement of powerful steamers towing flotillas of keels and lighters.; Place the ramekins in the prepared steamer and cook until set, about 20 minutes.; Again varies, ranging from requiring a full UK suit in winter to a 5mm steamer or even a shortie wetsuit in summer.; For the cinnamon bread: Prepare a hot steamer and pre-heat a deep fryer to 375 degrees.; Sailing ships, and later steamers , played a vital part in South Australia's History.; Perhaps in preparation for a forced career change, Hayden brought with him a camping stove, frying pan, wok, bamboo steamer and food processor.; There were fast new attack transports, slow rust-scarred freighters, small ocean liners, Channel steamers , hospital ships, weather-beaten tankers, coaster and swarms of fussing tugs.; The dim sum was contained in small bamboo food steamers , tiny but delightful, so that you could order varied dishes.; You could try to change little things that make her fat: is there a certain snack she won't stop eating or maybe a frying pan that needs to be swapped for a steamer ?; Piers were built to serve sailing vessels and steamers from across the bay.; In 1909, another leg was added to the jetty, to facilitate a railway line for the loading of timber onto steamers and tall sailing ships.; It has been an excursion steamer and a floating restaurant. It often stops at the Essex coast but has never before called at Maldon.; Close the shells and pack the mussels tightly into a steamer , or a colander placed in a pan with a little water.; Lay the prepared fish in a shallow, heatproof dish that will sit comfortably in your steamer .; Place the prepared sweet potato in a steamer and cook until tender, about ten minutes.; She also captured or sunk 14 ships (half of them steamers and most British) in 15 months at sea.; Cook in a steamer until tender, adding the extra half cup of sherry to the liquid in the pan underneath for added moisture.; Coat the bottom of a hot steamer with vegetable cooking spray.; Over the first two months of 1916, the Moewe captured or sank 15 merchant steamers , a total tonnage of 57,835.; It is clearly time that the Lake Management planned for size regulations designed differentially for private vessels and those steamers commercially carrying passengers around the lake.; To cook, place the chicken and its marinade in a large steamer over simmering water, and steam for 20 minutes or until cooked through.; Placing the assembly on the stove and the lid on the steamer , she checked the kitchen clock, shrugged, and turned the flame to ‘Medium’.; Pat the fish dry and arrange it on a lightly oiled heatproof plate or bowl that will fit into your steamer .; The whole thing was cooked into a sort of cake in the steamer .; Then put the sponge mix over the top, and cook in the steamer for 20-25 mins.; Put the Christmas pudding in the steamer , cover and leave to steam away until 2.15 pm. You'll need to check the water from time to time and maybe top it up a bit.; Until the 1880s the company stuck with sailing ships, but then moved slowly into steamers .; She sank in 1942 on top of the wreck of the Montana, a paddle-wheel steamer that went down on the reefs in 1893.; Stack the humitas in the steamer , cover the pan tightly, and steam for about 45 minutes.; At a distance they look kind of like wetsuits, steamers , but what do they look and feel like up close?"
